Date,PG,KO,JNJ,WMT,MSFT,AAPL,MCD,HD,DOCU,META,NVDA,NFLX,AMD,TSLA,V,UNH,GOOGL,BRKb,JPM,PEP
3/2/2025,168.76,63.35,151.87,99.54,410.92,228.01,290.05,408.76,96.50,697.46,116.66,978.94,114.27,383.68,345.82,548.18,201.23,464.61,266.81,143.49
31/1/2025,165.99,63.48,152.15,98.16,415.06,236.00,288.70,411.98,96.73,689.18,120.07,976.76,115.95,404.60,341.80,542.49,204.02,468.67,267.30,150.27
30/1/2025,167.41,64.05,152.87,98.65,414.99,237.59,290.32,414.50,95.85,687.00,124.65,973.24,118.86,400.28,343.05,545.57,200.87,472.35,268.23,150.69
29/1/2025,166.23,62.83,151.15,97.50,442.33,239.36,290.11,413.42,95.46,676.49,123.70,978.15,117.35,389.10,335.88,538.10,195.41,469.26,266.58,151.90
28/1/2025,166.19,62.36,150.38,97.29,447.20,238.26,291.15,418.83,97.70,674.33,128.99,971.83,114.17,398.09,334.48,542.48,195.30,469.97,267.14,150.37
27/1/2025,169.66,63.87,152.89,97.40,434.56,229.86,293.09,424.87,92.26,659.88,118.42,971.89,115.01,397.15,334.54,543.52,191.81,474.70,265.85,150.25
24/1/2025,164.12,61.92,146.82,94.76,444.06,222.78,285.46,414.50,91.60,647.49,142.62,977.59,122.84,406.58,330.20,532.51,200.21,463.19,264.84,154.61
23/1/2025,166.15,61.53,146.64,93.81,446.71,223.66,284.43,414.39,90.54,636.45,147.22,984.86,123.04,412.38,328.21,529.77,197.98,459.83,265.95,149.12
22/1/2025,164.74,61.78,145.27,93.23,446.20,223.83,281.35,410.10,91.76,623.50,147.07,953.99,123.75,415.11,323.56,519.72,198.37,460.51,262.84,148.62
21/1/2025,161.72,62.42,148.15,93.08,428.50,222.64,282.61,418.43,91.36,616.46,140.83,869.68,122.28,424.07,323.63,524.99,198.05,468.57,263.03,148.09
17/1/2025,161.13,62.71,147.03,91.94,429.03,229.98,280.95,409.38,89.60,612.77,137.71,858.10,121.46,426.50,319.62,509.76,196.00,467.95,259.16,148.55
16/1/2025,160.50,62.25,147.77,91.30,424.58,228.26,279.74,409.33,91.16,611.30,133.57,842.37,118.44,413.82,317.25,510.59,192.91,462.81,254.27,148.25
15/1/2025,159.65,61.77,144.97,91.34,426.31,237.87,282.30,406.09,91.34,617.12,136.24,848.26,119.96,428.22,316.28,543.42,195.55,458.51,252.35,146.54
14/1/2025,159.74,62.04,144.75,90.79,415.67,233.28,281.58,392.78,90.09,594.25,131.76,828.40,116.09,396.36,309.09,543.74,189.66,450.03,247.47,144.78
13/1/2025,158.84,61.65,144.47,91.53,417.19,234.40,283.63,389.18,90.02,608.33,133.23,840.29,117.32,403.31,306.92,541.14,191.01,443.91,244.21,144.95
10/1/2025,158.56,61.07,142.06,93.00,418.95,236.85,282.31,389.89,90.42,615.86,135.91,837.69,116.04,394.74,307.71,520.69,192.04,442.66,239.87,144.50
8/1/2025,162.10,61.71,142.27,91.80,424.56,242.70,286.90,387.20,89.51,610.72,140.11,875.00,121.84,394.94,312.60,524.52,193.95,451.84,243.13,142.64
7/1/2025,161.30,60.84,146.23,90.81,422.37,242.21,289.34,384.23,88.26,617.89,140.14,879.19,127.33,394.36,311.67,514.25,195.49,452.92,243.17,146.54
6/1/2025,160.60,60.81,143.66,91.43,427.85,245.00,292.18,389.37,91.16,630.20,149.43,881.79,129.55,411.05,313.04,513.67,196.87,451.41,240.85,145.40
3/1/2025,165.13,61.75,144.19,90.78,423.35,243.36,294.78,389.18,90.21,604.63,144.47,881.05,125.37,410.44,314.91,513.00,191.79,453.56,243.28,146.27
2/1/2025,165.98,61.84,144.02,90.00,418.58,243.85,292.51,388.46,90.35,599.24,138.31,886.73,120.63,379.28,314.40,504.51,189.43,451.10,240.00,149.65
31/12/2024,167.65,62.26,144.62,90.35,421.50,250.42,289.89,388.99,89.94,585.51,134.29,891.32,120.79,403.84,316.04,505.86,189.30,453.28,239.71,150.21
30/12/2024,167.09,62.03,143.34,90.57,424.83,252.20,289.60,389.43,91.70,591.24,137.49,900.43,122.44,417.41,315.31,507.80,191.24,452.16,239.32,152.06
27/12/2024,169.53,62.45,145.05,91.66,430.53,255.59,293.62,392.86,93.00,599.81,137.01,907.55,125.19,431.66,318.66,509.99,192.76,456.51,241.17,151.72
26/12/2024,170.16,62.57,145.58,92.79,438.11,259.02,294.80,395.14,95.77,603.35,139.93,924.14,125.06,454.13,320.91,511.15,195.60,459.08,243.14,152.89
24/12/2024,168.94,62.84,145.85,92.68,439.33,258.20,293.99,396.14,94.85,607.75,140.22,932.12,126.29,462.28,320.65,506.10,196.11,458.66,242.31,152.44
23/12/2024,168.11,62.38,145.27,90.35,435.25,255.27,291.29,392.45,95.80,599.85,139.67,911.45,124.60,430.60,317.22,506.34,194.63,454.35,238.39,152.81
20/12/2024,168.06,62.55,144.47,92.24,436.60,254.49,292.68,392.60,94.41,585.25,134.70,909.05,119.21,421.06,317.71,500.13,191.41,453.20,237.60,151.29
19/12/2024,169.19,62.45,143.58,93.40,437.03,249.79,290.23,385.02,94.15,595.57,130.68,902.04,118.88,436.17,314.88,489.25,188.51,449.34,232.96,152.79
18/12/2024,169.08,62.85,144.75,93.55,437.39,248.05,290.88,393.82,92.71,597.19,128.91,889.55,121.41,440.13,309.78,499.72,188.40,446.59,230.37,151.47
17/12/2024,170.33,63.40,146.41,95.42,454.46,253.48,296.08,408.47,98.17,619.44,130.39,919.13,125.02,479.86,318.30,485.52,195.42,455.66,238.36,154.43
16/12/2024,171.14,62.55,143.85,94.87,451.59,251.04,297.71,410.71,97.83,624.24,132.00,921.08,126.69,463.02,315.89,498.50,196.66,455.20,239.58,156.14
13/12/2024,171.06,63.12,146.62,94.25,447.27,248.13,296.60,416.98,94.48,620.35,134.25,918.87,126.91,436.23,314.74,520.48,189.82,457.90,239.94,156.02
12/12/2024,170.85,63.84,146.24,94.09,449.56,247.96,296.63,414.42,94.52,630.79,137.34,925.55,130.60,418.10,314.23,515.76,191.96,458.63,241.53,157.97
11/12/2024,170.63,62.64,146.64,94.96,448.99,246.49,296.10,421.38,94.75,632.68,139.31,936.56,130.15,424.77,313.79,533.53,195.40,461.39,243.53,158.90
10/12/2024,172.28,62.91,149.23,94.55,443.33,247.77,300.71,422.59,95.85,619.32,135.07,913.35,127.74,400.99,312.38,565.19,185.17,462.49,242.86,156.77
9/12/2024,170.79,62.60,149.60,93.83,446.02,246.75,301.37,429.18,102.26,613.57,138.81,913.69,130.87,389.79,308.30,560.62,175.37,463.87,243.81,159.84
6/12/2024,173.82,62.53,149.31,95.70,443.57,242.84,298.98,431.37,106.99,623.77,142.44,934.74,138.59,389.22,311.01,549.62,174.71,470.50,247.36,159.47
5/12/2024,176.03,62.92,149.52,95.30,442.62,243.04,299.47,426.54,83.68,608.93,145.06,917.87,141.36,369.49,309.08,578.97,172.64,470.57,245.48,157.79
4/12/2024,175.11,62.21,150.47,94.45,437.42,243.01,295.09,427.92,83.99,613.78,145.14,911.06,143.99,357.93,309.90,610.79,174.37,468.32,243.40,160.49
3/12/2024,175.42,63.52,152.36,93.51,431.20,242.65,294.50,429.35,80.45,613.65,140.26,902.17,141.98,351.42,313.01,605.23,171.34,470.19,244.82,160.18
2/12/2024,179.70,63.65,154.80,92.64,430.98,239.59,292.44,426.96,80.26,592.83,138.63,897.74,142.06,357.09,316.65,608.52,171.49,477.33,246.25,161.70
29/11/2024,179.26,64.08,155.01,92.50,423.46,237.33,296.01,429.13,79.69,574.32,138.25,886.81,137.18,345.16,315.08,610.20,168.95,483.02,249.72,163.05
27/11/2024,179.36,64.43,155.40,91.88,422.99,234.93,295.08,427.19,80.38,569.20,135.34,877.34,136.24,332.89,314.70,608.38,169.23,483.08,249.79,163.45
26/11/2024,179.31,64.55,154.52,91.31,427.99,235.06,296.33,429.52,85.30,573.54,136.92,872.60,137.72,338.23,311.82,606.79,169.12,478.56,249.97,162.72
25/11/2024,177.39,64.38,155.78,89.50,418.79,232.87,296.19,428.67,85.51,565.11,136.02,865.59,141.13,338.59,313.19,605.83,167.65,477.43,250.29,162.16
